"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SI_02_GRANT_US_ORG_EIN","SI_02_GRANT_US_ORG_IRC_SECTION","SI_02_GRANT_US_ORG_AMT_CASH","SI_02_GRANT_US_ORG_PURPOSE","SI_02_GRANT_US_ORG_NAME_L1","SI_02_GRANT_US_ORG_ADDR_L1","SI_02_GRANT_US_ORG_ADDR_CITY","SI_02_GRANT_US_ORG_ADDR_STATE","SI_02_GRANT_US_ORG_ADDR_ZIP","SI_02_GRANT_US_ORG_AMT_NONCSH","SI_02_GRANT_US_ORG_MOV","SI_02_GRANT_US_ORG_DESC_NONCSH","SI_02_GRANT_US_ORG_ADDR_L2"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","580603146","501(C)(3)","75000","RESEARCH","GEORGIA TECH RESEARCH CORPORATION","225 NORTH AVE","ATLANTA","GA","30331",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","946002123","CA DPT OF EDU","145000","RESEARCH","UNIVERSITY OF CALIFORNIA BERKELEY","2195 HEARST AVE ROOM 130 MC 1108","BERKELEY","CA","94720",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","416007513","MN DPT OF EDU","145000","RESEARCH","UNIVERSITY OF MINNESOTA","200 OAK ST SE 450","MINNEAPOLIS","MN","55455",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","950606143","CA DPT OF EDU","80000","RESEARCH","UNIVERSITY OF CALIFORNIA LOS ANGELES","405 HILGARD AVE","LOS ANGELES","CA","90095",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","250965591","PA DPT OF EDU","60000","RESEARCH","UNIVERSITY OF PITTSBURGH","123 UNIVERSITY PL","PITTSBURGH","PA","15213",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","237098397","501(C)(3)","65000","RESEARCH","COLORADO STATE UNIVERSITY FOUNDATION","601 S HOWES 410","FT COLLINS","CO","80521",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","746000203","TX DPT OF EDU","100000","RESEARCH","UNIVERSITY OF TEXAS - AUSTIN","1 UNIVERSITY STATION","AUSTIN","TX","78712",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","356002041","501(C)(3)","70000","RESEARCH","PURDUE UNIVERSITY","610 PURDUE HALL","WEST LAFAYETTE","IN","47907",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","141340095","501(C)(3)","55000","RESEARCH","RENSSELAER POLYTECHNIC INSTITUTE","110 8TH ST","TROY","NY","12180",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086","680110971","INTERNATIONAL DISK EQUIPMENT AND","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201913119349302086_public.xml","426004224","IA DPT OF EDU","35000","RESEARCH","IOWA STATE UNIVERSITY","2505 UNIVERSITY BLVD","AMES","IA","50010",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943299349300739","480926092","NEOSHO COUNTY COMMUNITY COLLEGE","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943299349300739_public.xml","480698341","GOV","78155","CAPITAL PROJECTS","NEOSHO COUNTY COMMUNITY COLLEGE","800 WEST 14TH STREET","CHANUTE","KS","66720",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","133598671","501( C ) 3","500000","STUDENT SERVICES PARTNERSHIP AWARD","NEW VISIONS AIM CHARTER HIGH SCHOOL I","1495 HERKIMER STREET","BROOKLYN","NY","11233",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","453802187","501( C ) 3","500000","STUDENT SERVICES PARTNERSHIP AWARD","NEW VISIONS AIM CHARTER HIGH SCHOOL II","1010 REV JAMES A POLITE AVENUE","BRONX","NY","10459",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","112656137","501( C ) 3","350000","NETWORK FOR SCHOOL IMPROVEMENT- COLLEGE READY","THE FUND FOR PUBLIC SCHOOLS","52 CHAMBERS STREET ROOM 305","NEW YORK","NY","10007",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"68761","PER SESSION PROFESSIONAL DEVELOPMENT CURRICULUM","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"50031","LIBRARY GRANTS","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434","501( C ) 3","40329","STUDENTS WITH DISABILITIES INITIATIVE","BROOKLYN COLLEGE SCHOOL OF EDUCATION","2900 BEDFORD AVENUE","BROOKLYN","NY","11210",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","454659946","501( C ) 3","25000","NETWORK FOR SCHOOL IMPROVEMENT- COLLEGE READY","NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II","900 TINTON AVENUE","BRONX","NY","10456",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","451559526","501( C ) 3","25000","NETWORK FOR SCHOOL IMPROVEMENT- COLLEGE READY","NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES","99 TERRACE VIEW AVENUE","BRONX","NY","10463",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","462339783","501( C ) 3","25000","NETWORK FOR SCHOOL IMPROVEMENT- COLLEGE READY","NEW VISIONS CHARTER SCHOOL","205 EAST 42ND STREET 4TH FLOOR NEW","NEW YORK","NY","10017",NA,NA,NA,"YORK NY 10017"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"25000","NETWORK FOR SCHOOL IMPROVEMENT- COLLEGE READY","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"23454","TEACHER RESIDENT GRANT","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","133598671","501( C ) 3","19219","CLASS TUITION","HUNTER COLLEGE OF EDUCATION","695 PARK AVE ROOM W100","NEW YORK","NY","10065",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"12406","COLLEGE ADVISORY BOARD","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"6874","PER SESSION VARIOUS PROJECTS","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,"6071","WORKSHOP PARTICIPATION","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001",NA,NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","462339783","501( C ) 3","5625","MENTOR PARTICIPATION AWARD","NEW VISIONS CHARTER SCHOOL","205 EAST 42ND STREET 4TH FLOOR NEW","NEW YORK","NY","10017",NA,NA,NA,"YORK NY 10017"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415","133538961","NEW VISIONS FOR PUBLIC SCHOOLS INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202000909349300415_public.xml","136400434",NA,NA,"VARIOUS","NYC DEPARTMENT OF EDUCATION","333 SEVENTH AVE ROOM 826","NEW YORK","NY","10001","12199","FMV","IN-KIND DONATED BOOKS- VARIOUS PUBLISHERS",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","455100719",NA,"19000","EMERGENCY SERVICES","REBECCA BENDER MINISTRIES","560 NE F STREET SUITE A628","GRANTS PASS","OR","97526","0",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","452049173",NA,"20000","SUPPORT OF BILINGUAL CASE MANAGER","SAVING INNOCENCE INC","1509 WINONA BLVD","LOS ANGELES","CA","90027","0",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","341973109",NA,"20000","STAFF SALARIES","STARSUNITY CHURCH OF W OHIO","1910 E BROADWAY","NORTHWOOD","OH","43619","0",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","271372748",NA,"20000","SUPPORT FOR NEW CASE MANAGER","THE COVERING HOUSE","PO BOX 12206","SAINT LOUIS","MO","63157","0",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","812909861",NA,"20000","SHELTER OPERATIONS","US INSTITUTE AGAINST HUMAN TR","PO BOX 272463","TAMPA","FL","33688","0",NA,NA,NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047","911938635","SHARED HOPE INTERNATIONAL","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202020379349301047_public.xml","203902846",NA,"20780","SUPPORT FOR 5 SHELTER RESIDENTS","VERONICAS VOICE","PO BOX 172472","KANSAS CITY","MO","66117","0",NA,NA,NA
